id_passenger,passenger_firstname,passenger_lastname,passenger_class,passenger_age,passenger_ticket_number,passenger_gender,ports_id,passenger_fare,survived,numberofsiblings,numberofparentchildren,home_destination
0,Allen," Miss. Elisabeth Walton",First,29,24160,Female,1,211.3375,1,0,0,"St Louis, MO"
1,Allison," Master. Hudson Trevor",First,0.9167,113781,Male,1,151.55,1,1,2,"Montreal, PQ / Chesterville, ON"
2,Allison," Miss. Helen Loraine",First,2,113781,Female,1,151.55,0,1,2,"Montreal, PQ / Chesterville, ON"
3,Allison," Mr. Hudson Joshua Creighton",First,30,113781,Male,1,151.55,0,1,2,"Montreal, PQ / Chesterville, ON"
4,Allison," Mrs. Hudson J C (Bessie Waldo Daniels)",First,25,113781,Female,1,151.55,0,1,2,"Montreal, PQ / Chesterville, ON"
5,Anderson," Mr. Harry",First,48,19952,Male,1,26.55,1,0,0,"New York, NY"
6,Andrews," Miss. Kornelia Theodosia",First,63,13502,Female,1,77.9583,1,1,0,"Hudson, NY"
7,Andrews," Mr. Thomas Jr",First,39,112050,Male,1,0,0,0,0,"Belfast, NI"
8,Appleton," Mrs. Edward Dale (Charlotte Lamson)",First,53,11769,Female,1,51.4792,1,2,0,"Bayside, Queens, NY"
9,Artagaveytia," Mr. Ramon",First,71,"PC 17609",Male,2,49.5042,0,0,0,"Montevideo, Uruguay"
10,Astor," Col. John Jacob",First,47,"PC 17757",Male,2,227.525,0,1,0,"New York, NY"
11,Astor," Mrs. John Jacob (Madeleine Talmadge Force)",First,18,"PC 17757",Female,2,227.525,1,1,0,"New York, NY"
12,Aubart," Mme. Leontine Pauline",First,24,"PC 17477",Female,2,69.3,1,0,0,"Paris, France"
13,Barber," Miss. Ellen "Nellie"",First,26,19877,Female,1,78.85,1,0,0,
14,Barkworth," Mr. Algernon Henry Wilson",First,80,27042,Male,1,30,1,0,0,"Hessle, Yorks"
15,Baumann," Mr. John D",First,,"PC 17318",Male,1,25.925,0,0,0,"New York, NY"
